subj	age	gender	condition	responseRing	speed	rt	correct	numTargets	numObjects	ageGroup
201	62	female	131.1	3	0.45	2.17574637755752	1	1	10	older
201	62	female	131.1	3	0.45	2.36536558624357	1	1	10	older
201	62	female	131.1	3	0.55	2.24550688348245	1	1	10	older
201	62	female	131.1	3	0.6	2.84949651861098	0	1	10	older
201	62	female	131.1	3	0.55	2.05136663548183	1	1	10	older
201	62	female	131.1	3	0.6	2.09152591181919	1	1	10	older
201	62	female	131.1	3	0.6	2.80339985038154	0	1	10	older
201	62	female	131.1	3	0.6	3.41366707987618	1	1	10	older
201	62	female	231.1	1	0.433333333333333	3.42741373146418	0	2	10	older
201	62	female	231.1	1	0.433333333333333	2.22552157833707	1	2	10	older
201	62	female	231.1	1	0.433333333333333	1.85338605521247	1	2	10	older
201	62	female	231.1	1	0.6	2.15382249234244	1	2	10	older
201	62	female	231.1	3	0.266666666666667	4.64312468189746	0	2	10	older
201	62	female	231.1	1	0.1	1.93519220070448	1	2	10	older
201	62	female	231.1	1	0.6	2.64165761577897	0	2	10	older
201	62	female	231.1	1	0.6	2.87925049220212	0	2	10	older
201	62	female	231.1	1	0.433333333333333	2.30344120599329	0	2	10	older
201	62	female	231.1	3	0.266666666666667	2.42904169182293	1	2	10	older
201	62	female	231.1	3	0.6	3.36364676430821	0	2	10	older
201	62	female	231.1	3	0.1	2.84952368645463	0	2	10	older
201	62	female	231.1	3	0.1	2.69929339329246	1	2	10	older
201	62	female	231.1	3	0.266666666666667	3.47119871375617	0	2	10	older
201	62	female	231.1	1	0.266666666666667	2.04545369476546	1	2	10	older
201	62	female	231.1	1	0.266666666666667	2.38094274990726	0	2	10	older
201	62	female	231.1	3	0.433333333333333	2.61345341941342	0	2	10	older
201	62	female	231.1	3	0.1	2.16139690054115	1	2	10	older
201	62	female	231.1	1	0.266666666666667	1.93572438962292	1	2	10	older
201	62	female	231.1	1	0.6	3.13759963819757	0	2	10	older
201	62	female	231.1	3	0.6	3.72563236288261	0	2	10	older
201	62	female	231.1	1	0.1	2.18089650420006	1	2	10	older
201	62	female	231.1	1	0.266666666666667	2.63538032327779	1	2	10	older
201	62	female	231.1	1	0.1	2.01129973004572	1	2	10	older
201	62	female	231.1	1	0.1	3.34291313460562	0	2	10	older
201	62	female	231.1	1	0.433333333333333	2.38348204235081	0	2	10	older
201	62	female	231.1	1	0.266666666666667	3.93109679198824	0	2	10	older
201	62	female	231.1	3	0.433333333333333	46.9647813558113	0	2	10	older
201	62	female	231.1	1	0.6	5.5912421583198	0	2	10	older
201	62	female	231.1	1	0.433333333333333	3.67378817615099	0	2	10	older
201	62	female	231.1	3	0.1	2.39320603467058	1	2	10	older
201	62	female	231.1	1	0.6	2.87321589968633	0	2	10	older
201	62	female	231.1	1	0.1	2.04161366412882	1	2	10	older
201	62	female	231.1	3	0.15	2.41783221950755	1	2	10	older
201	62	female	231.1	3	0.2	2.07705116074067	1	2	10	older
201	62	female	231.1	3	0.25	2.35130801331252	0	2	10	older
201	62	female	231.1	3	0.2	2.25517352123279	1	2	10	older
201	62	female	231.1	3	0.25	2.27752907422837	1	2	10	older
201	62	female	231.1	1	0.25	1.91788232920226	1	2	10	older
201	62	female	231.1	1	0.25	2.12102963891812	1	2	10	older
201	62	female	231.1	1	0.25	2.1777157477336	1	2	10	older
201	62	female	231.1	3	0.25	3.74719582067337	0	2	10	older
201	62	female	231.1	3	0.25	2.26760675618425	1	2	10	older
201	62	female	231.1	1	0.25	4.14518461190164	0	2	10	older
201	62	female	231.1	3	0.25	4.08952726051211	0	2	10	older
201	62	female	231.1	3	0.25	2.42926446860656	0	2	10	older
201	62	female	231.1	1	0.25	2.69542015751358	0	2	10	older
201	62	female	231.1	3	0.25	2.45961583394092	0	2	10	older
201	62	female	231.1	3	0.05	2.20314217812847	1	2	10	older
201	62	female	231.1	1	0.25	1.89526596455835	1	2	10	older
201	62	female	331.1	2	0.5	6.22977637196891	0	3	10	older
201	62	female	331.1	2	0.233333333333333	2.50254834827501	1	3	10	older
201	62	female	331.1	3	0.5	2.73968269105535	0	3	10	older
201	62	female	331.1	1	0.5	2.93919704994187	0	3	10	older
201	62	female	331.1	1	0.233333333333333	2.78945698624011	0	3	10	older
201	62	female	331.1	2	0.233333333333333	2.31909957143944	0	3	10	older
201	62	female	331.1	2	0.1	4.11712380161043	0	3	10	older
201	62	female	331.1	3	0.233333333333333	4.86721692723222	0	3	10	older
201	62	female	331.1	3	0.5	3.17191178037319	0	3	10	older
